"","Age","Sex","Grade","race","schooltype","curious_trying_others","Smoked_cigarettes_on_1_or","Smoked_cigars_cigarillos","chewing_tobacco_snuff_or","Smoked_tobacco_pipe_not_h","Smoked_bidis_on_1_or_more","Smoked_tobacco_hookah_or","snus_such_as_Camel_or_Mar","dissolvable_tobacco_such","electronic_cigarettes_suc","curious_smoke_cig","housemoate_no_smoke","smoked","curious"
"1",7,"M",4,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,4,NA,TRUE,0
"2",6,"F",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"3",7,"F",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"4",7,"F",4,"White","High",NA,1,0,1,0,0,0,0,0,1,NA,NA,TRUE,NA
"5",7,"M",8,"Hispanic",NA,NA,1,1,1,1,1,0,1,1,0,NA,NA,TRUE,NA
"6",7,"M",4,"White","High",NA,0,0,1,0,0,0,1,0,1,NA,NA,TRUE,NA
"7",6,"M",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"8",6,"M",4,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"9",6,"F",4,"White","High",NA,0,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"10",8,"F",5,"Hispanic","High",NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,TRUE,NA
"11",7,"M",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"12",7,"M",4,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,4,NA,TRUE,0
"13",6,"F",4,"Hispanic","High",3,1,1,0,0,0,0,0,0,0,NA,NA,TRUE,NA
"14",7,"M",4,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"15",7,"M",4,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,2,NA,FALSE,1
"16",7,"M",4,"Hispanic","High",NA,1,1,0,1,0,0,0,0,1,NA,NA,TRUE,NA
"17",7,"F",4,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"18",7,"F",4,"Hispanic","High",3,1,1,0,0,0,0,0,0,0,NA,NA,TRUE,NA
"19",8,"M",4,"White","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"20",8,"M",4,"White","High",NA,0,0,1,0,0,0,0,0,1,4,NA,TRUE,0
"21",8,"M",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"22",1,"M",3,"Hispanic","Middle",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"23",7,"F",4,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"24",7,"F",4,NA,"High",4,0,0,NA,NA,NA,NA,NA,NA,0,4,NA,NA,0
"25",7,"F",4,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"26",7,"M",4,"White","High",NA,0,0,1,0,0,0,0,0,1,2,NA,TRUE,1
"27",7,"M",4,"Hispanic","High",NA,1,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"28",7,"F",4,"Hispanic","High",NA,0,1,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"29",6,"M",4,"Hispanic","High",NA,0,0,0,NA,NA,0,NA,NA,1,NA,NA,TRUE,NA
"30",8,"M",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"31",7,"F",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"32",6,"M",4,"Hispanic","High",NA,0,1,1,0,0,0,0,0,1,3,NA,TRUE,0
"33",7,"M",4,"Hispanic","High",NA,0,1,0,0,0,0,0,0,1,1,NA,TRUE,1
"34",7,"M",4,"Hispanic","High",NA,0,1,0,0,0,1,0,0,0,NA,NA,TRUE,NA
"35",6,"F",4,"Hispanic","High",NA,1,1,0,0,0,1,0,1,1,NA,NA,TRUE,NA
"36",6,"F",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,4,1,FALSE,0
"37",6,"M",4,"White","High",3,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"38",8,"M",4,"Hispanic","High",NA,1,0,0,0,0,0,0,0,1,NA,NA,TRUE,NA
"39",6,"F",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,3,1,FALSE,0
"40",7,"M",4,"Hispanic","High",4,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"41",7,"F",4,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,4,NA,FALSE,0
"42",6,"M",4,"Hispanic","High",NA,0,0,0,0,0,0,0,0,0,3,NA,FALSE,0
"43",7,"F",4,"White","High",4,0,0,0,0,0,0,0,0,0,NA,1,FALSE,NA
"44",6,"M",4,"Hispanic","High",3,0,0,0,0,0,0,0,0,0,NA,NA,FALSE,NA
"45",7,"M",4,"Hispanic","High",NA,0,0,0,0,0,0,0,0,1,2,NA,TRUE,1
"46",6,"M",4,"White","High",4,0,0,0,0,0,0,0,0,0,2,NA,FALSE,1
